Main Category,Subcategory,Suitability Percentage
Restaurants,Acaraje restaurant,2.0
Restaurants,Afghan restaurant,2.0
Restaurants,African restaurant,2.0
Restaurants,Algerian Restaurant,2.0
Restaurants,Alsace restaurant,2.0
Restaurants,American restaurant,2.0
Restaurants,Anhui restaurant,2.0
Restaurants,Anago restaurant,2.0
Restaurants,Andalusian restaurant,2.0
Restaurants,Andhra restaurant,2.0
Restaurants,Angler fish restaurant,2.0
Restaurants,Animal cafe,2.0
Restaurants,Arab restaurant,2.0
Restaurants,Argentinian restaurant,2.0
Restaurants,Armenian restaurant,2.0
Restaurants,Art cafe,2.0
Restaurants,Asian fusion restaurant,2.0
Restaurants,Asian restaurant,2.0
Restaurants,Assamese restaurant,2.0
Restaurants,Asturian restaurant,2.0
Restaurants,Australian restaurant,2.0
Restaurants,Austrian restaurant,2.0
Restaurants,Awadhi restaurant,2.0
Restaurants,Ayam penyet restaurant,2.0
Restaurants,Azerbaijani restaurant,2.0
Restaurants,Baden restaurant,2.0
Restaurants,Bakso restaurant,2.0
Restaurants,Balinese restaurant,2.0
Restaurants,Bangladeshi restaurant,2.0
Restaurants,Bar restaurant furniture store,2.0
Restaurants,Barbecue restaurant,2.0
Restaurants,Basque restaurant,2.0
Restaurants,Batak restaurant,2.0
Restaurants,Bavarian restaurant,2.0
Restaurants,Gyudon restaurant,2.0
Restaurants,Belgian restaurant,2.0
Restaurants,Bengali restaurant,2.0
Restaurants,Berry restaurant,2.0
Restaurants,Betawi restaurant,2.0
Restaurants,Biryani restaurant,2.0
Restaurants,Brazilian restaurant,2.0
Restaurants,Breakfast restaurant,2.0
Restaurants,British restaurant,2.0
Restaurants,Brunch restaurant,2.0
Restaurants,Buffet restaurant,2.0
Restaurants,Bulgarian restaurant,2.0
Restaurants,Burmese restaurant,2.0
Restaurants,Burrito restaurant,2.0
Restaurants,Cafe,2.0
Restaurants,Cafeteria,2.0
Shopping,Açaí shop,2.0
Shopping,Acrylic store,2.0
Shopping,Adult DVD store,2.0
Shopping,Adult entertainment store,2.0
Shopping,Aeromodel shop,2.0
Shopping,African goods store,2.0
Shopping,Air conditioning store,2.0
Shopping,Airbrushing supply store,2.0
Shopping,Aircraft supply store,2.0
Shopping,Airsoft supply store,2.0
Shopping,American grocery store,2.0
Shopping,Amish furniture store,2.0
Shopping,Antique furniture store,2.0
Shopping,Antique store,2.0
Shopping,Appliance store,2.0
Shopping,Aquarium shop,2.0
Shopping,Archery store,2.0
Shopping,Architectural salvage store,2.0
Shopping,Army & navy surplus shop,2.0
Shopping,Aromatherapy supply store,2.0
Shopping,Art supply store,2.0
Shopping,Asian grocery store,2.0
Shopping,Asian household goods store,2.0
Shopping,ATV repair shop,2.0
Shopping,Australian goods store,2.0
Shopping,Auto body shop,2.0
Shopping,Auto care products store,2.0
Shopping,Auto chemistry shop,2.0
Shopping,Auto glass shop,2.0
Shopping,Auto machine shop,2.0
Shopping,Auto market,2.0
Shopping,Auto parts market,2.0
Shopping,Auto parts store,2.0
Shopping,Auto repair shop,2.0
Shopping,Auto spring shop,2.0
Shopping,Auto sunroof shop,2.0
Shopping,Baby clothing store,2.0
Shopping,Baby store,2.0
Shopping,Bag shop,2.0
Shopping,Bagel shop,2.0
Shopping,Bait shop,2.0
Shopping,Baking supply store,2.0
Shopping,Balloon store,2.0
Shopping,Bangle Shop,2.0
Shopping,Banner store,2.0
Shopping,Barber shop,2.0
Shopping,Barber supply store,2.0
Shopping,Baseball goods store,2.0
Shopping,Bathroom supply store,2.0
Shopping,Batik clothing store,2.0
Nightlife,Abarth dealer,2.0
Nightlife,Adult entertainment club,2.0
Nightlife,Aeroclub,2.0
Nightlife,Aikido club,2.0
Nightlife,Anime club,2.0
Nightlife,Archery club,2.0
Nightlife,Army barracks,2.0
Nightlife,Athletic club,2.0
Nightlife,Badminton club,2.0
Nightlife,Bar,2.0
Nightlife,Bar & grill,2.0
Nightlife,Bar PMU,2.0
Nightlife,Bar stool supplier,2.0
Nightlife,Bar tabac,2.0
Nightlife,Barbecue area,2.0
Nightlife,Barber school,2.0
Nightlife,Bariatric surgeon,2.0
Nightlife,Bark supplier,2.0
Nightlife,Barrel supplier,2.0
Nightlife,Barrister,2.0
Nightlife,Bartending school,2.0
Nightlife,Baseball club,2.0
Nightlife,Basketball club,2.0
Nightlife,Beach club,2.0
Nightlife,Beach volleyball club,2.0
Nightlife,Bicycle club,2.0
Nightlife,Blues club,2.0
Nightlife,BMX club,2.0
Nightlife,Board game club,2.0
Nightlife,Boat club,2.0
Nightlife,Book publisher,2.0
Nightlife,Bowling club,2.0
Nightlife,Boxing club,2.0
Nightlife,Brewpub,2.0
Nightlife,Bridge club,2.0
Nightlife,Cabaret club,2.0
Nightlife,Cannabis club,2.0
Nightlife,Canoe and kayak club,2.0
Nightlife,Carnival club,2.0
Nightlife,Certified public accountant,2.0
Nightlife,Chess and card club,2.0
Nightlife,Chess club,2.0
Nightlife,Children’s club,2.0
Nightlife,Chop bar,2.0
